CustomerID,Recency,Frequency,Monetary,UniqueProducts,PurchaseVelocity,AvgOrderValue,Tenure,DaysToSecondPurchase,PeakSeasonEngagement,R_Score,F_Score,M_Score,Segment,Churned,Churn_Probability,CohortMonth
12347,5,39,20757.15,20,0.0,122.10088235294118,71,3.0,0.7411764705882353,5,5,5,Champions,0,0.0018517436545421708,2011-10
12348,15,34,19860.28,20,0.0,114.13954022988506,419,5.0,0.28735632183908044,5,5,5,Champions,0,0.003963789234116963,2010-10
12349,56,45,24536.2,20,0.0,120.27549019607844,337,6.0,0.19607843137254902,4,5,5,Champions,0,0.0007298968052621433,2010-12
12350,11,42,23368.14,20,0.0,132.77352272727273,126,7.0,0.42613636363636365,5,5,5,Champions,0,0.0006970588502924631,2011-08
12351,19,40,18722.52,20,0.0,115.57111111111111,393,8.0,0.345679012345679,5,5,5,Champions,0,0.004697575623637026,2010-11
12352,38,38,17953.59,20,0.0,115.08711538461539,428,1.0,0.1794871794871795,5,5,5,Champions,0,0.006220319882577166,2010-09
12353,25,38,21478.83,20,0.0,132.58537037037038,109,2.0,0.35802469135802467,5,5,5,Champions,0,0.001255094853308145,2011-08
12354,56,26,11235.54,20,0.0,113.49030303030304,330,8.0,0.15151515151515152,4,5,5,Champions,0,0.04691242242904031,2010-12
12355,37,46,23649.71,20,0.0,120.66178571428571,226,4.0,0.08673469387755102,5,5,5,Champions,0,0.0008422248739813636,2011-04
12356,21,36,18815.4,20,0.0,122.17792207792209,418,13.0,0.3181818181818182,5,5,5,Champions,0,0.004325432256753886,2010-10
12357,32,41,19717.81,20,0.0,113.32074712643679,458,7.0,0.10344827586206896,5,5,5,Champions,0,0.0038436678587975533,2010-08
12358,46,42,20992.28,20,0.0,122.76187134502923,289,11.0,0.07017543859649122,4,5,5,Champions,0,0.001907893072676542,2011-01
12359,15,48,22687.27,20,0.0,110.66960975609756,80,8.0,0.5121951219512195,5,5,5,Champions,0,0.0011989123384052054,2011-09
12360,22,39,22897.47,20,0.0,121.15063492063493,60,1.0,0.6243386243386243,5,5,5,Champions,0,0.0010265236006922794,2011-10
12361,19,26,13000.72,20,41.0,117.1236036036036,467,12.0,0.13513513513513514,5,5,5,Champions,0,0.02854250746133975,2010-09
12362,49,34,18687.63,20,0.0,121.34824675324676,149,11.0,0.025974025974025976,4,5,5,Champions,0,0.0038888941004397368,2011-06
12363,35,32,17047.48,20,0.0,135.29746031746032,266,8.0,0.12698412698412698,5,5,5,Champions,0,0.005099079862315001,2011-03
12364,39,40,17672.79,20,0.0,108.42202453987731,180,4.0,0.25766871165644173,5,5,5,Champions,0,0.006311157891693962,2011-05
12365,32,22,12481.87,20,0.0,121.18320388349515,397,38.0,0.13592233009708737,5,5,5,Champions,0,0.03231892661320526,2010-10
12366,28,49,26587.83,20,2.0,116.10406113537118,346,4.0,0.18777292576419213,5,5,5,Champions,0,0.00042116362648627183,2010-12
12367,28,25,11251.96,20,0.0,110.31333333333332,174,26.0,0.3137254901960784,5,5,5,Champions,0,0.04599576576327157,2011-06
12368,9,49,29388.54,20,0.0,122.45225,124,1.0,0.32916666666666666,5,5,5,Champions,0,0.00014201967453069542,2011-08
12369,14,31,16201.66,20,0.0,121.816992481203,222,3.0,0.17293233082706766,5,5,5,Champions,0,0.00851661832977299,2011-05
12370,19,25,15003.54,20,0.0,130.46556521739132,369,22.0,0.23478260869565218,5,5,5,Champions,0,0.012221312986973385,2010-12
12371,19,33,16741.86,20,0.0,119.58471428571428,219,1.0,0.20714285714285716,5,5,5,Champions,0,0.007411425486821249,2011-05
12372,11,36,20616.78,20,0.0,129.6652830188679,243,1.0,0.2138364779874214,5,5,5,Champions,0,0.0019406008091467537,2011-04
12373,17,50,23817.44,20,7.0,109.2543119266055,259,14.0,0.14220183486238533,5,5,5,Champions,0,0.0009860792046366643,2011-03
12374,8,40,22273.87,20,0.0,123.06005524861878,361,19.0,0.1712707182320442,5,5,5,Champions,0,0.0014462367520562999,2010-12
12375,32,38,19621.47,20,17.0,108.40591160220995,471,4.0,0.13259668508287292,5,5,5,Champions,0,0.004583210782472523,2010-08
12376,12,45,22039.46,20,0.0,125.22420454545454,267,2.0,0.13068181818181818,5,5,5,Champions,0,0.001254187586551159,2011-03
12377,30,42,22216.37,20,-1.0,126.95068571428571,278,1.0,0.2857142857142857,5,5,5,Champions,0,0.0012187438916839415,2011-02
12378,21,35,19251.85,20,-15.0,115.975,329,15.0,0.28313253012048195,5,5,5,Champions,0,0.0042474195989893136,2011-01
12379,12,31,19304.45,20,0.0,129.56006711409395,429,8.0,0.436241610738255,5,5,5,Champions,0,0.0035088520787495497,2010-10
12380,17,33,16754.32,20,0.0,116.34944444444444,385,13.0,0.3472222222222222,5,5,5,Champions,0,0.008978918120322782,2010-11
12381,34,34,16040.93,20,12.0,106.23132450331126,206,7.0,0.15894039735099338,5,5,5,Champions,0,0.011638637995281028,2011-05
12382,29,47,26521.19,20,0.0,129.37165853658536,472,5.0,0.23414634146341465,5,5,5,Champions,0,0.0003642094480673429,2010-08
12383,40,34,17471.03,20,0.0,117.25523489932885,292,7.0,0.1342281879194631,5,5,5,Champions,0,0.006609708825275332,2011-02
12384,18,49,26758.66,20,0.0,120.5345045045045,429,1.0,0.21171171171171171,5,5,5,Champions,0,0.00038678148546576584,2010-10
12385,39,22,11895.73,20,0.0,123.91385416666667,256,54.0,0.08333333333333333,5,5,5,Champions,0,0.03270288593386093,2011-03
12386,42,46,23343.19,20,0.0,116.71594999999999,250,7.0,0.12,5,5,5,Champions,0,0.0010200746976503762,2011-03
12387,36,21,12340.04,20,0.0,134.1308695652174,406,24.0,0.21739130434782608,5,5,5,Champions,0,0.025893237970811802,2010-10
